Time Index,CPU Activity (Cortex-A15):User,CPU Activity (Cortex-A15):System,CPU Activity (Cortex-A7):User,CPU Activity (Cortex-A7):System,CPU Times:Idle,CPU Times:IO wait,Disk I/O:Read,Disk I/O:Write,Mali Core Cycles:Tripipe cycles,Mali Job Manager Cycles:GPU cycles,Mali Job Manager Cycles:IRQ cycles,Mali L2 Cache Ext Reads:External read bytes,Mali L2 Cache Ext Writes:External bus stalls (W),Mali L2 Cache Ext Writes:External write bytes,Mali L2 Cache Writes:L2 write lookups,Memory:Buffer,Memory:Cached,Memory:Free,Memory:Slab,Memory:Used,App
3.3,24.62%,8.56%,0.00%,1.06%,0.65,0,0,0,404,"245,873","3,632","1,616","15,776","167,872","3,634","251,805,696","1,285,668,864","92,897,280","82,186,240","2,000,113,664",canny
3.4,23.68%,10.00%,0.00%,0.00%,0.66,0,0,0,404,"245,902","3,634","1,600","15,972","167,904","3,627","251,805,696","1,285,668,864","92,897,280","82,186,240","2,000,113,664",canny
3.5,24.76%,12.50%,0.00%,0.00%,0.66,0,0,0,403,"245,890","3,630","1,568","15,853","167,904","3,634","251,805,696","1,285,668,864","92,897,280","82,198,528","2,000,113,664",canny
3.6,27.24%,7.50%,0.00%,2.50%,0.63,0,0,0,404,"245,902","3,635","1,600","15,431","167,904","3,652","251,805,696","1,285,668,864","92,897,280","82,169,856","2,000,113,664",canny
3.7,25.00%,10.00%,0.00%,0.00%,0.65,0,0,0,403,"245,885","3,630","1,600","15,770","167,888","3,639","251,805,696","1,285,668,864","92,897,280","82,149,376","2,000,113,664",canny
3.8,27.50%,10.00%,0.00%,2.50%,0.66,0,0,0,404,"245,888","3,635","1,584","15,797","167,888","3,638","251,805,696","1,285,668,864","92,897,280","82,178,048","2,000,113,664",canny
3.9,24.77%,10.00%,0.00%,0.00%,0.64,0,0,0,404,"245,864","3,630","1,584","16,556","167,888","3,628","251,805,696","1,285,668,864","92,770,304","82,202,624","2,000,240,640",canny
4,24.73%,8.18%,0.00%,2.50%,0.68,0,0,0,403,"245,941","3,634","1,600","15,538","167,920","3,638","251,805,696","1,285,668,864","92,770,304","82,219,008","2,000,240,640",canny
4.1,27.27%,7.27%,0.00%,0.00%,0.65,0,0,0,404,"245,876","3,631","1,600","16,508","167,888","3,633","251,805,696","1,285,668,864","92,770,304","82,178,048","2,000,240,640",canny
4.2,24.50%,7.00%,0.00%,0.00%,0.61,0,0,0,403,"245,898","3,633","1,600","15,906","167,904","3,642","251,805,696","1,285,668,864","92,770,304","82,214,912","2,000,240,640",canny
4.3,25.00%,7.56%,0.00%,0.00%,0.65,0,0,0,404,"245,889","3,633","1,520","15,859","167,888","3,629","251,805,696","1,285,668,864","92,770,304","82,214,912","2,000,240,640",canny
4.4,24.74%,7.50%,0.00%,2.50%,0.7,0,0,0,404,"245,904","3,631","1,600","15,732","167,920","3,638","251,805,696","1,285,668,864","92,770,304","82,214,912","2,000,240,640",canny
4.5,27.50%,10.00%,0.00%,0.00%,0.65,0,0,0,403,"245,867","3,634","1,616","16,118","167,872","3,636","251,805,696","1,285,668,864","92,770,304","82,178,048","2,000,240,640",canny
4.6,22.52%,10.00%,0.00%,2.50%,0.62,0,0,0,404,"245,921","3,631","1,584","15,810","167,920","3,630","251,805,696","1,285,668,864","92,770,304","82,178,048","2,000,240,640",canny
4.7,25.00%,0.00%,0.00%,0.00%,0.2,0,0,0,312,"189,346","2,800","1,200","11,863","129,296","2,804","251,805,696","1,285,668,864","92,770,304","82,182,144","2,000,240,640",canny
0,24.91%,7.50%,0.00%,0.00%,0.61,0,0,0,397,"242,090","3,572","1,568","15,258","165,296","3,577","251,805,696","1,285,668,864","93,134,848","82,227,200","1,999,876,096",harris
0.1,26.53%,10.00%,0.00%,2.50%,0.68,0,0,0,403,"245,855","3,630","1,600","15,682","167,872","3,636","251,805,696","1,285,668,864","93,134,848","82,227,200","1,999,876,096",harris
0.2,24.25%,10.00%,0.00%,0.00%,0.65,0,0,0,404,"245,928","3,635","1,568","16,188","167,936","3,639","251,805,696","1,285,668,864","93,134,848","82,227,200","1,999,876,096",harris
0.3,24.26%,10.00%,0.00%,2.50%,0.65,0,0,0,404,"245,891","3,630","1,584","15,643","167,872","3,637","251,805,696","1,285,668,864","93,134,848","82,227,200","1,999,876,096",harris
0.4,27.50%,10.00%,0.00%,0.00%,0.61,0,0,0,403,"245,873","3,635","1,600","15,802","167,888","3,641","251,805,696","1,285,668,864","93,134,848","82,227,200","1,999,876,096",harris
0.5,24.26%,9.45%,0.00%,2.50%,0.66,0,0,0,404,"245,869","3,630","1,600","15,703","167,888","3,639","251,805,696","1,285,668,864","93,147,136","82,231,296","1,999,863,808",harris
0.6,21.75%,6.75%,0.00%,0.00%,0.65,0,"16,313",0,403,"245,659","3,630","1,616","15,691","167,728","3,644","251,805,696","1,285,668,864","93,147,136","82,255,872","1,999,863,808",harris
0.7,27.25%,3.80%,0.00%,0.00%,0.64,0,71,0,404,"246,177","3,636","1,616","15,810","168,096","3,642","251,805,696","1,285,685,248","93,622,272","82,231,296","1,999,388,672",harris
0.8,26.44%,8.94%,0.00%,1.44%,0.64,0,0,0,404,"245,867","3,632","1,616","15,599","167,872","3,633","251,805,696","1,285,685,248","93,646,848","82,210,816","1,999,364,096",harris
0.9,26.06%,8.56%,0.00%,1.06%,0.64,0,0,0,403,"245,907","3,633","1,600","15,855","167,920","3,630","251,805,696","1,285,685,248","93,646,848","82,235,392","1,999,364,096",harris
1,24.76%,10.00%,0.00%,0.00%,0.64,0,0,0,404,"245,872","3,631","1,552","15,578","167,872","3,633","251,805,696","1,285,685,248","93,646,848","82,231,296","1,999,364,096",harris
1.1,25.50%,10.00%,0.00%,2.50%,0.66,0,0,0,403,"245,894","3,634","1,616","15,919","167,904","3,641","251,805,696","1,285,685,248","93,646,848","82,219,008","1,999,364,096",harris
1.2,24.25%,10.00%,0.00%,0.00%,0.65,0,0,0,404,"245,922","3,631","1,600","15,850","167,920","3,636","251,805,696","1,285,685,248","93,519,872","82,231,296","1,999,491,072",harris
1.3,25.00%,10.00%,0.00%,2.50%,0.68,0,0,0,404,"245,877","3,635","1,584","15,579","167,888","3,634","251,805,696","1,285,685,248","93,519,872","82,259,968","1,999,491,072",harris
1.4,24.50%,8.01%,0.00%,0.00%,0.63,0,0,0,403,"245,888","3,629","1,600","15,606","167,888","3,630","251,805,696","1,285,685,248","93,519,872","82,251,776","1,999,491,072",harris
1.5,27.25%,11.69%,0.00%,0.00%,0.64,0,0,0,404,"245,904","3,635","1,616","15,804","167,904","3,638","251,805,696","1,285,685,248","93,519,872","82,235,392","1,999,491,072",harris
1.6,25.00%,8.25%,0.00%,2.50%,0.68,0,0,0,403,"245,860","3,630","1,616","15,875","167,872","3,625","251,805,696","1,285,685,248","93,519,872","82,231,296","1,999,491,072",harris
1.7,24.75%,7.25%,0.00%,0.00%,0.65,0,0,0,404,"245,899","3,634","1,600","16,003","167,904","3,627","251,805,696","1,285,685,248","93,519,872","82,198,528","1,999,491,072",harris
1.8,26.70%,7.00%,0.00%,2.20%,0.61,0,0,0,404,"245,939","3,632","1,616","15,848","167,936","3,645","251,805,696","1,285,685,248","93,519,872","82,219,008","1,999,491,072",harris
1.9,25.30%,7.80%,0.00%,0.30%,0.66,0,0,0,403,"245,873","3,632","1,568","16,228","167,888","3,630","251,805,696","1,285,685,248","93,519,872","82,210,816","1,999,491,072",harris
2,24.50%,11.80%,0.00%,0.00%,0.66,0,0,0,404,"245,891","3,633","1,584","15,476","167,888","3,643","251,805,696","1,285,685,248","93,519,872","82,210,816","1,999,491,072",harris
2.1,24.50%,8.20%,0.00%,2.50%,0.64,0,0,0,403,"245,908","3,632","1,616","16,008","167,904","3,636","251,805,696","1,285,685,248","93,519,872","82,219,008","1,999,491,072",harris
2.2,25.75%,10.00%,0.00%,0.00%,0.66,0,0,0,404,"245,894","3,634","1,584","15,658","167,904","3,635","251,805,696","1,285,685,248","93,519,872","82,223,104","1,999,491,072",harris
2.3,27.50%,7.50%,0.00%,0.00%,0.65,0,0,0,404,"245,895","3,630","1,568","15,575","167,904","3,635","251,805,696","1,285,685,248","93,519,872","82,223,104","1,999,491,072",harris
2.4,25.00%,10.00%,0.00%,2.50%,0.64,0,0,0,403,"245,864","3,635","1,600","15,967","167,872","3,648","251,805,696","1,285,685,248","93,392,896","82,235,392","1,999,618,048",harris
2.5,27.50%,10.00%,0.00%,0.00%,0.67,0,0,0,404,"245,882","3,630","1,584","15,788","167,888","3,630","251,805,696","1,285,685,248","93,392,896","82,198,528","1,999,618,048",harris
2.6,24.76%,10.00%,0.00%,2.50%,0.65,0,0,0,403,"245,892","3,634","1,616","15,782","167,888","3,643","251,805,696","1,285,685,248","93,392,896","82,227,200","1,999,618,048",harris
2.7,27.25%,5.30%,0.00%,0.00%,0.65,0,0,0,404,"245,892","3,631","1,584","15,689","167,904","3,639","251,805,696","1,285,685,248","93,392,896","82,227,200","1,999,618,048",harris
2.8,24.25%,12.40%,0.00%,2.50%,0.66,0,0,0,404,"245,928","3,633","1,584","15,477","167,920","3,631","251,805,696","1,285,685,248","93,278,208","82,247,680","1,999,732,736",harris
2.9,24.75%,7.25%,0.00%,0.00%,0.61,0,0,0,403,"245,877","3,633","1,600","15,695","167,888","3,643","251,805,696","1,285,685,248","93,278,208","82,239,488","1,999,732,736",harris
3,25.00%,7.55%,0.00%,0.00%,0.65,0,0,0,404,"245,920","3,632","1,616","15,657","167,920","3,637","251,805,696","1,285,685,248","93,278,208","82,239,488","1,999,732,736",harris
3.1,27.25%,7.50%,0.00%,2.50%,0.69,0,0,0,403,"245,878","3,633","1,600","15,911","167,888","3,641","251,805,696","1,285,685,248","93,278,208","82,251,776","1,999,732,736",harris
3.2,25.00%,10.00%,0.00%,0.00%,0.65,0,0,0,404,"245,897","3,631","1,584","15,781","167,888","3,622","251,805,696","1,285,685,248","93,278,208","82,231,296","1,999,732,736",harris
3.3,24.75%,10.00%,0.00%,0.00%,0.62,0,0,0,404,"245,881","3,634","1,568","15,769","167,904","3,627","251,805,696","1,285,685,248","93,278,208","82,251,776","1,999,732,736",harris
3.4,24.50%,10.00%,0.00%,2.50%,0.66,0,0,0,403,"245,912","3,630","1,568","15,777","167,904","3,640","251,805,696","1,285,685,248","93,278,208","82,264,064","1,999,732,736",harris
3.5,25.00%,10.00%,0.00%,0.00%,0.65,0,0,0,404,"245,900","3,635","1,568","15,402","167,904","3,632","251,805,696","1,285,685,248","93,151,232","82,264,064","1,999,859,712",harris
3.6,24.76%,10.00%,0.00%,2.50%,0.65,0,0,0,403,"245,842","3,630","1,552","15,971","167,856","3,629","251,805,696","1,285,685,248","93,151,232","82,264,064","1,999,859,712",harris
3.7,27.00%,8.70%,0.00%,0.00%,0.67,0,0,0,404,"245,745","3,631","1,616","15,912","167,792","3,642","251,805,696","1,285,685,248","93,151,232","82,276,352","1,999,859,712",harris
3.8,24.17%,8.83%,0.00%,2.50%,0.65,0,0,0,404,"246,055","3,635","1,600","15,620","168,016","3,630","251,805,696","1,285,685,248","93,196,288","82,268,160","1,999,814,656",harris
3.9,27.20%,7.00%,0.00%,0.00%,0.6,0,0,0,403,"245,901","3,632","1,600","15,948","167,904","3,638","251,805,696","1,285,685,248","93,229,056","82,255,872","1,999,781,888",harris
4,25.30%,5.30%,0.00%,0.00%,0.65,0,0,0,404,"245,905","3,633","1,600","15,798","167,904","3,634","251,805,696","1,285,685,248","93,229,056","82,247,680","1,999,781,888",harris
4.1,24.75%,10.00%,0.00%,2.50%,0.67,0,0,0,403,"245,899","3,632","1,584","16,229","167,904","3,628","251,805,696","1,285,685,248","93,229,056","82,247,680","1,999,781,888",harris
4.2,24.50%,10.00%,0.00%,0.00%,0.65,0,0,0,404,"245,884","3,634","1,600","15,664","167,888","3,637","251,805,696","1,285,685,248","93,229,056","82,259,968","1,999,781,888",harris
4.3,27.50%,12.50%,0.00%,2.50%,0.64,0,0,0,404,"245,911","3,630","1,568","15,864","167,904","3,637","251,805,696","1,285,685,248","93,229,056","82,268,160","1,999,781,888",harris
4.4,23.49%,7.50%,0.00%,0.00%,0.66,0,0,0,403,"245,863","3,635","1,536","15,724","167,888","3,636","251,805,696","1,285,685,248","93,229,056","82,268,160","1,999,781,888",harris
4.5,26.51%,10.00%,0.00%,2.50%,0.67,0,0,0,404,"245,898","3,630","1,584","15,866","167,904","3,632","251,805,696","1,285,685,248","93,229,056","82,259,968","1,999,781,888",harris
4.6,24.71%,7.40%,0.00%,0.00%,0.62,0,0,0,403,"245,915","3,634","1,584","15,689","167,904","3,631","251,805,696","1,285,685,248","93,229,056","82,268,160","1,999,781,888",harris
4.7,24.55%,7.04%,0.00%,0.00%,0.65,0,0,0,404,"245,716","3,629","1,584","16,046","167,776","3,640","251,805,696","1,285,685,248","93,102,080","82,251,776","1,999,908,864",harris
4.8,25.00%,6.99%,0.00%,1.44%,0.66,0,0,0,404,"246,058","3,635","1,600","16,121","168,016","3,634","251,805,696","1,285,685,248","93,102,080","82,235,392","1,999,908,864",harris
4.9,27.50%,8.56%,0.00%,1.06%,0.63,0,0,0,403,"245,902","3,633","1,584","15,555","167,904","3,632","251,805,696","1,285,685,248","93,102,080","82,235,392","1,999,908,864",harris
5,23.26%,10.00%,0.00%,0.00%,0.69,0,0,0,404,"245,882","3,631","1,584","15,899","167,888","3,633","251,805,696","1,285,685,248","93,102,080","82,235,392","1,999,908,864",harris
5.1,23.01%,10.00%,0.00%,2.50%,0.62,0,0,0,403,"245,917","3,634","1,600","15,595","167,904","3,626","251,805,696","1,285,685,248","93,102,080","82,231,296","1,999,908,864",harris
5.2,30.00%,7.50%,0.00%,0.00%,0.65,0,0,0,404,"245,861","3,630","1,600","15,696","167,888","3,638","251,805,696","1,285,685,248","93,102,080","82,231,296","1,999,908,864",harris
5.3,24.75%,12.50%,0.00%,2.50%,0.65,0,0,0,404,"245,926","3,636","1,584","15,452","167,920","3,642","251,805,696","1,285,685,248","93,102,080","82,231,296","1,999,908,864",harris
5.4,25.00%,0.00%,0.00%,0.00%,0.33,0,0,0,403,"245,857","3,629","1,584","15,948","167,872","3,625","251,805,696","1,285,685,248","93,102,080","82,231,296","1,999,908,864",harris
5.5,25.00%,0.00%,0.00%,0.00%,0,0,0,0,198,"120,520","1,782",800,"7,744","82,288","1,781","251,805,696","1,285,685,248","93,093,888","82,202,624","1,999,917,056",harris
0,24.93%,10.00%,0.00%,0.00%,0.61,0,0,0,397,"242,099","3,576","1,568","15,427","165,296","3,580","251,805,696","1,285,685,248","93,859,840","82,219,008","1,999,151,104",optical
0.1,24.00%,10.00%,0.00%,2.50%,0.63,0,0,0,403,"245,866","3,631","1,600","15,518","167,888","3,629","251,805,696","1,285,685,248","93,642,752","82,219,008","1,999,368,192",optical
0.2,25.00%,10.00%,0.00%,0.00%,0.66,0,0,0,404,"245,913","3,634","1,584","15,708","167,904","3,638","251,805,696","1,285,685,248","93,642,752","82,214,912","1,999,368,192",optical
0.3,25.38%,10.00%,0.00%,0.00%,0.67,0,0,0,404,"245,899","3,630","1,568","15,878","167,904","3,636","251,805,696","1,285,685,248","93,642,752","82,194,432","1,999,368,192",optical
0.4,25.38%,10.00%,0.00%,2.50%,0.63,0,0,0,403,"245,892","3,635","1,568","15,743","167,888","3,629","251,805,696","1,285,685,248","93,642,752","82,194,432","1,999,368,192",optical
0.5,25.00%,9.24%,0.00%,0.00%,0.65,0,0,0,404,"245,889","3,630","1,616","16,014","167,904","3,637","251,805,696","1,285,685,248","93,515,776","82,194,432","1,999,495,168",optical
0.6,27.24%,7.24%,0.00%,2.50%,0.65,0,0,0,403,"245,864","3,634","1,600","15,754","167,872","3,628","251,805,696","1,285,685,248","93,515,776","82,194,432","1,999,495,168",optical
0.7,27.01%,6.02%,0.00%,0.00%,0.67,0,0,0,404,"245,905","3,631","1,584","16,020","167,904","3,634","251,805,696","1,285,685,248","93,515,776","82,194,432","1,999,495,168",optical
0.8,24.25%,10.24%,0.00%,0.24%,0.66,0,0,0,404,"245,904","3,633","1,568","15,429","167,904","3,642","251,805,696","1,285,685,248","93,515,776","82,194,432","1,999,495,168",optical
0.9,25.00%,9.76%,0.00%,2.26%,0.64,0,0,0,403,"245,892","3,633","1,600","15,606","167,904","3,634","251,805,696","1,285,685,248","93,515,776","82,194,432","1,999,495,168",optical
1,25.00%,10.00%,0.00%,0.00%,0.66,0,0,0,404,"245,891","3,632","1,552","15,737","167,888","3,636","251,805,696","1,285,685,248","93,515,776","82,194,432","1,999,495,168",optical
1.1,24.49%,7.50%,0.00%,2.50%,0.65,0,0,0,403,"245,903","3,633","1,600","15,943","167,904","3,629","251,805,696","1,285,685,248","93,507,584","82,227,200","1,999,503,360",optical
1.2,25.00%,10.00%,0.00%,0.00%,0.64,0,0,0,404,"245,898","3,631","1,584","15,951","167,904","3,618","251,805,696","1,285,685,248","93,507,584","82,231,296","1,999,503,360",optical
1.3,27.50%,10.00%,0.00%,0.00%,0.61,0,0,0,404,"245,898","3,635","1,584","15,662","167,904","3,631","251,805,696","1,285,685,248","93,507,584","82,231,296","1,999,503,360",optical
1.4,24.29%,7.50%,0.00%,2.50%,0.65,0,"16,318",0,387,"236,146","3,486","1,536","14,690","161,248","3,496","251,805,696","1,285,685,248","93,507,584","82,223,104","1,999,503,360",optical
1.5,25.00%,10.00%,0.00%,0.00%,0.68,0,66,0,404,"245,892","3,634","1,600","15,703","167,888","3,632","251,805,696","1,285,685,248","93,601,792","82,214,912","1,999,409,152",optical
1.6,24.71%,7.70%,0.00%,2.50%,0.65,0,0,0,403,"245,856","3,631","1,584","15,978","167,872","3,638","251,805,696","1,285,685,248","93,601,792","82,219,008","1,999,409,152",optical
1.7,25.00%,7.51%,0.00%,0.00%,0.65,0,0,0,404,"245,910","3,633","1,600","15,661","167,920","3,628","251,805,696","1,285,685,248","93,601,792","82,223,104","1,999,409,152",optical
1.8,25.02%,7.52%,0.00%,2.50%,0.64,0,0,0,404,"245,894","3,632","1,584","15,769","167,888","3,628","251,805,696","1,285,685,248","93,601,792","82,231,296","1,999,409,152",optical
1.9,24.77%,7.27%,0.00%,0.00%,0.61,0,0,0,403,"245,913","3,633","1,600","15,549","167,920","3,639","251,805,696","1,285,685,248","93,601,792","82,231,296","1,999,409,152",optical
2,24.75%,7.50%,0.00%,0.00%,0.7,0,0,0,404,"245,888","3,633","1,552","15,846","167,888","3,630","251,805,696","1,285,685,248","93,601,792","82,235,392","1,999,409,152",optical
2.1,30.00%,10.00%,0.00%,0.00%,0.66,0,0,0,403,"245,880","3,631","1,616","15,832","167,888","3,632","251,805,696","1,285,701,632","93,601,792","82,268,160","1,999,409,152",optical
2.2,24.76%,10.00%,0.00%,2.50%,0.61,0,0,0,404,"245,905","3,634","1,616","15,713","167,904","3,628","251,805,696","1,285,701,632","93,601,792","82,268,160","1,999,409,152",optical
2.3,24.75%,10.00%,0.00%,0.00%,0.66,0,0,0,404,"245,888","3,630","1,568","16,197","167,904","3,641","251,805,696","1,285,701,632","93,601,792","82,268,160","1,999,409,152",optical
2.4,29.75%,10.00%,0.00%,2.50%,0.67,0,0,0,403,"245,897","3,635","1,568","15,892","167,888","3,631","251,805,696","1,285,701,632","93,601,792","82,268,160","1,999,409,152",optical
2.5,24.49%,10.00%,0.00%,0.00%,0.65,0,0,0,404,"245,894","3,630","1,600","15,846","167,904","3,632","251,805,696","1,285,701,632","93,474,816","82,268,160","1,999,536,128",optical
2.6,25.00%,9.24%,0.00%,2.50%,0.63,0,0,0,403,"245,881","3,634","1,552","16,179","167,888","3,638","251,805,696","1,285,701,632","93,474,816","82,268,160","1,999,536,128",optical
2.7,27.01%,7.00%,0.00%,0.00%,0.66,0,0,0,404,"245,894","3,631","1,584","16,249","167,904","3,625","251,805,696","1,285,701,632","93,474,816","82,268,160","1,999,536,128",optical
2.8,22.00%,4.50%,0.00%,2.50%,0.67,0,0,0,404,"245,893","3,633","1,568","15,651","167,888","3,640","251,805,696","1,285,701,632","93,474,816","82,268,160","1,999,536,128",optical
2.9,25.00%,7.00%,0.00%,0.00%,0.66,0,0,0,403,"245,891","3,633","1,584","15,711","167,904","3,633","251,805,696","1,285,701,632","93,474,816","82,268,160","1,999,536,128",optical
3,25.00%,9.77%,0.00%,0.00%,0.6,0,0,0,404,"245,902","3,632","1,616","15,836","167,904","3,630","251,805,696","1,285,701,632","93,474,816","82,268,160","1,999,536,128",optical
3.1,24.53%,12.23%,0.00%,2.50%,0.7,0,0,0,403,"245,904","3,634","1,568","15,461","167,904","3,638","251,805,696","1,285,701,632","93,474,816","82,268,160","1,999,536,128",optical
