Time Index,CPU Activity (Cortex-A15):User,CPU Activity (Cortex-A15):System,CPU Activity (Cortex-A7):User,CPU Activity (Cortex-A7):System,CPU Times:Idle,CPU Times:IO wait,Disk I/O:Read,Disk I/O:Write,Mali Core Cycles:Tripipe cycles,Mali Job Manager Cycles:GPU cycles,Mali Job Manager Cycles:IRQ cycles,Mali L2 Cache Ext Reads:External read bytes,Mali L2 Cache Ext Writes:External bus stalls (W),Mali L2 Cache Ext Writes:External write bytes,Mali L2 Cache Writes:L2 write lookups,Memory:Buffer,Memory:Cached,Memory:Free,Memory:Slab,Memory:Used,App
0,25.00%,7.50%,0.00%,2.50%,0.59,0,0,0,398,"242,917","3,587","1,584","16,138","165,856","3,585","251,805,696","1,285,668,864","93,700,096","82,100,224","1,999,310,848",canny
0.1,24.19%,10.00%,0.00%,0.00%,0.64,0,0,0,404,"245,895","3,633","1,616","15,844","167,904","3,641","251,805,696","1,285,668,864","93,700,096","82,100,224","1,999,310,848",canny
0.2,22.75%,12.50%,0.00%,2.50%,0.67,0,0,0,403,"245,885","3,632","1,616","15,800","167,888","3,628","251,805,696","1,285,668,864","93,700,096","82,137,088","1,999,310,848",canny
0.3,24.80%,10.00%,0.00%,0.00%,0.66,0,0,0,404,"245,894","3,632","1,552","16,246","167,904","3,628","251,805,696","1,285,668,864","93,683,712","82,137,088","1,999,327,232",canny
0.4,23.20%,10.00%,0.00%,2.50%,0.64,0,0,0,404,"245,895","3,634","1,616","15,995","167,888","3,649","251,805,696","1,285,668,864","93,683,712","82,141,184","1,999,327,232",canny
0.5,25.00%,10.00%,0.00%,0.00%,0.66,0,0,0,403,"245,899","3,631","1,600","15,911","167,904","3,629","251,805,696","1,285,668,864","93,683,712","82,157,568","1,999,327,232",canny
0.6,27.50%,7.50%,0.00%,0.00%,0.65,0,0,0,404,"245,890","3,634","1,600","15,908","167,904","3,629","251,805,696","1,285,668,864","93,683,712","82,145,280","1,999,327,232",canny
0.7,25.00%,9.44%,0.00%,2.50%,0.66,0,0,0,403,"245,895","3,630","1,536","15,956","167,888","3,645","251,805,696","1,285,668,864","93,683,712","82,112,512","1,999,327,232",canny
0.8,23.24%,8.24%,0.00%,0.00%,0.64,0,0,0,404,"245,891","3,635","1,616","15,826","167,904","3,634","251,805,696","1,285,668,864","93,683,712","82,149,376","1,999,327,232",canny
0.9,27.50%,8.26%,0.00%,2.50%,0.66,0,0,0,404,"245,897","3,630","1,616","15,782","167,904","3,639","251,805,696","1,285,668,864","93,683,712","82,169,856","1,999,327,232",canny
1,23.25%,5.75%,0.00%,0.00%,0.64,0,0,0,403,"245,896","3,634","1,600","16,283","167,888","3,631","251,805,696","1,285,668,864","93,683,712","82,137,088","1,999,327,232",canny
1.1,27.44%,8.25%,0.00%,0.00%,0.63,0,0,0,404,"245,892","3,632","1,600","15,952","167,904","3,637","251,805,696","1,285,668,864","93,683,712","82,153,472","1,999,327,232",canny
1.2,25.06%,8.25%,0.68%,0.00%,0.67,0,0,0,403,"245,889","3,632","1,600","15,741","167,888","3,640","251,805,696","1,285,668,864","93,683,712","82,137,088","1,999,327,232",canny
1.3,25.00%,6.82%,24.32%,0.22%,0.59,0,0,0,368,"223,959","3,308","1,456","14,310","152,928","3,300","251,805,696","1,285,668,864","93,683,712","82,178,048","1,999,327,232",canny
1.4,24.49%,10.00%,22.67%,2.28%,0.57,0,0,0,404,"245,895","3,634","1,600","15,596","167,888","3,643","251,805,696","1,285,668,864","91,680,768","82,182,144","2,001,330,176",canny
1.5,27.46%,10.00%,24.96%,0.00%,0.56,0,0,0,403,"245,900","3,631","1,600","15,972","167,904","3,623","251,805,696","1,285,668,864","91,680,768","82,141,184","2,001,330,176",canny
1.6,24.94%,7.50%,22.44%,0.00%,0.55,0,0,0,404,"245,894","3,634","1,600","15,449","167,904","3,644","251,805,696","1,285,668,864","91,672,576","82,198,528","2,001,338,368",canny
1.7,22.87%,10.00%,22.74%,2.26%,0.56,0,0,0,403,"245,889","3,630","1,568","15,719","167,888","3,626","251,805,696","1,285,668,864","91,418,624","82,186,240","2,001,592,320",canny
1.8,37.92%,10.00%,22.49%,0.00%,0.55,0,0,0,404,"245,871","3,634","1,552","15,359","167,888","3,625","251,805,696","1,285,668,864","91,164,672","82,149,376","2,001,846,272",canny
1.9,39.59%,10.00%,22.69%,2.31%,0.52,0,0,0,404,"245,900","3,631","1,584","15,757","167,904","3,630","251,805,696","1,285,668,864","90,783,744","82,128,896","2,002,227,200",canny
2,24.01%,6.68%,24.01%,0.00%,0.56,0,0,0,403,"245,876","3,633","1,600","15,526","167,888","3,636","251,805,696","1,285,668,864","90,402,816","82,137,088","2,002,608,128",canny
2.1,27.50%,6.50%,25.00%,0.00%,0.58,0,0,0,404,"245,930","3,633","1,616","15,387","167,920","3,630","251,805,696","1,285,668,864","90,021,888","82,223,104","2,002,989,056",canny
2.2,25.26%,7.75%,22.76%,0.00%,0.55,0,0,0,403,"245,883","3,632","1,584","15,417","167,888","3,653","251,805,696","1,285,668,864","90,021,888","82,198,528","2,002,989,056",canny
2.3,27.50%,11.56%,24.05%,0.95%,0.55,0,0,0,404,"245,895","3,633","1,600","15,903","167,904","3,632","251,805,696","1,285,668,864","89,767,936","82,173,952","2,003,243,008",canny
2.4,25.00%,10.00%,23.68%,1.32%,0.57,0,0,0,404,"245,868","3,631","1,600","16,137","167,872","3,631","251,805,696","1,285,668,864","89,513,984","82,173,952","2,003,496,960",canny
2.5,24.27%,10.00%,3.82%,2.50%,0.53,0,0,0,403,"245,914","3,634","1,600","15,669","167,920","3,646","251,805,696","1,285,668,864","88,625,152","82,132,992","2,004,385,792",canny
2.6,24.24%,10.00%,0.00%,0.00%,0.6,0,0,"309,833",404,"245,903","3,631","1,600","15,484","167,904","3,636","251,805,696","1,285,668,864","88,117,248","82,165,760","2,004,893,696",canny
2.7,25.00%,10.00%,0.00%,0.00%,0.62,0,0,"1,463",403,"245,887","3,635","1,568","15,731","167,888","3,645","251,805,696","1,285,750,784","92,635,136","82,169,856","2,000,375,808",canny
2.8,27.25%,10.00%,0.00%,2.50%,0.66,0,0,0,404,"245,891","3,629","1,568","15,831","167,904","3,629","251,805,696","1,285,750,784","92,651,520","82,173,952","2,000,359,424",canny
2.9,27.27%,9.45%,0.00%,0.00%,0.65,0,0,0,404,"245,859","3,634","1,616","15,610","167,872","3,639","251,805,696","1,285,668,864","92,897,280","82,186,240","2,000,113,664",canny
3,22.50%,7.50%,0.00%,2.50%,0.65,0,0,0,403,"245,912","3,632","1,584","16,304","167,904","3,635","251,805,696","1,285,668,864","92,897,280","82,198,528","2,000,113,664",canny
3.1,25.00%,4.72%,0.00%,0.00%,0.67,0,0,0,404,"245,902","3,633","1,584","15,926","167,904","3,637","251,805,696","1,285,668,864","92,897,280","82,153,472","2,000,113,664",canny
3.2,26.21%,7.27%,0.00%,1.44%,0.64,0,0,0,403,"245,914","3,632","1,584","15,856","167,920","3,629","251,805,696","1,285,668,864","92,897,280","82,186,240","2,000,113,664",canny
