tab 	samples
azimuth	citations	criteria	description	dip	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_specimens	lat	lithologies	lon	method_codes	orientation_quality	result_quality	sample	site	specimens
310.6	This study			-87									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g		sr01a	sr01	
	This study	DE-SPEC	sample direction.		331	64.4	1	1	0	p	n	0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-T		g	sr01a	sr01	sr01a1
	This study	DE-SPEC	sample direction.		325.9	62.1	1	1	0	p	n	0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-T		g	sr01a	sr01	sr01a2
	This study	IE-SPEC	sample intensity.												3.939e-05	0	0	1				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:LP-PI-TRM		g	sr01a	sr01	sr01a2
311.9	This study			-15									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g		sr01b	sr01	
300.7	This study			-82									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g		sr01c	sr01	
	This study	DE-SPEC	sample direction.		345	64.3	1	1	0	p	n	0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-T		g	sr01c	sr01	sr01c2
340.2	This study			-76									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sr01d	sr01	
	This study	DE-SPEC	sample direction.		326.9	65.2	1	1	0	p	n	0										DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-T		g	sr01d	sr01	sr01d1
	This study	IE-SPEC	sample intensity.												3.727e-05	0	0	1				IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM		g	sr01d	sr01	sr01d1
26.3	This study			-75									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g		sr01e	sr01	
	This study	DE-SPEC	sample direction.		333	67.1	1	1	0	p	n	0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF		g	sr01e	sr01	sr01e2
23.7	This study			-80									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g		sr01f	sr01	
	This study	DE-SPEC	sample direction.		325.9	66.1	1	1	0	p	n	0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-T		g	sr01f	sr01	sr01f2
322.7	This study			-75									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g		sr01g	sr01	
	This study	DE-SPEC	sample direction.		324.4	66.7	1	1	0	p	n	0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF		g	sr01g	sr01	sr01g2
334.6	This study			-78									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g		sr01h	sr01	
6.8	This study			-56									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g		sr01i	sr01	
	This study	DE-SPEC	sample direction.		328.5	62.5	1	1	0	p	n	0										DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-T		g	sr01i	sr01	sr01i1
55.3	This study			-79									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g		sr01j	sr01	
27.3	This study			-51									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g		sr01k	sr01	
8.3	This study			-85									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g		sr02a	sr02	
2.2	This study			-91									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g		sr02b	sr02	
359.8	This study			-88									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g		sr02c	sr02	
18.5	This study			-87									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g		sr02d	sr02	
2.4	This study			-83									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g		sr02e	sr02	
12.1	This study			-55									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g		sr02f	sr02	
348.1	This study			-84									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g		sr02g	sr02	
28.4	This study			-88									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g		sr02h	sr02	
26.7	This study			-89									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g		sr02i	sr02	
310.5	This study			-92									Igneous:Extrusive	Lava Flow					42.60264	Basalt	245.602	FS-FD:SO-POM:SO-SUN	g		sr02j	sr02	
