tab 	specimens
dir_dec	dir_inc	dir_tilt_correction	method_codes	sample	specimen
333.716245708	66.9521600617	0	SO-SUN	sr01e	sr01e2
325.168642283	65.8729413603	0	SO-SUN	sr01g	sr01g2
141.206065489	-55.7416471394	0	SO-CMD-NORTH	sr03f	sr03f1
147.045524237	-52.824728459	0	SO-CMD-NORTH	sr03h	sr03h2
162.029227284	-55.8953512281	0	SO-CMD-NORTH	sr03k	sr03k1
34.9289711845	57.7389187478	0	SO-CMD-NORTH	sr04e	sr04e1
24.4803413005	59.5003401422	0	SO-CMD-NORTH	sr04f	sr04f2
20.2242121243	80.2492720019	0	SO-SUN	sr09b	sr09b2
6.30321524453	74.9763160412	0	SO-SUN	sr09e	sr09e2
13.1854945168	75.60249998	0	SO-SUN	sr09f	sr09f2
2.07864840771	66.0601625874	0	SO-CMD-NORTH	sr11a	sr11a1
341.172571124	53.5177593222	0	SO-CMD-NORTH	sr11b	sr11b1
359.988670756	66.4357454767	0	SO-CMD-NORTH	sr11c	sr11c1
259.333216177	86.6965418959	0	SO-CMD-NORTH	sr11e	sr11e2
286.830581696	62.4233828686	0	SO-CMD-NORTH	sr11g	sr11g2
348.80493046	16.4420545615	0	SO-CMD-NORTH	sr11i	sr11i1
57.9614633502	-15.2343952555	0	SO-CMD-NORTH	sr11j	sr11j3
16.0037447666	53.6000733681	0	SO-CMD-NORTH	sr12c	sr12c1
12.1412816805	38.1957462342	0	SO-CMD-NORTH	sr12h	sr12h1
357.436549365	66.6992437518	0	SO-SUN	sr16e	sr16e1
334.877444038	64.8330989022	0	SO-SUN	sr16g	sr16g2
341.199260955	-26.9876162129	0	SO-SUN	sr19a	sr19a3
275.910995134	-74.5632391238	0	SO-SUN	sr19b	sr19b3
174.183915564	-76.4674810871	0	SO-CMD-NORTH	sr19h	sr19h2
342.261140901	60.0042117587	0	SO-SUN	sr20d	sr20d2
336.761368092	55.5714254311	0	SO-SUN	sr20e	sr20e1
332.548948683	33.2049601833	0	SO-SUN	sr20i	sr20i1
173.51069287	-67.728114985	0	SO-SUN	sr21d	sr21d1
110.683450687	22.57573077	0	SO-SUN	sr22b	sr22b2
3.82009529288	43.5821835645	0	SO-SUN	sr22d	sr22d3
0.640391056571	32.2085803351	0	SO-CMD-NORTH	sr22e	sr22e1
359.806444352	27.7783718132	0	SO-CMD-NORTH	sr22f	sr22f1
1.20382611014	23.4754844775	0	SO-CMD-NORTH	sr23a	sr23a1
268.680009299	77.5699426854	0	SO-CMD-NORTH	sr23b	sr23b2
346.773576282	46.5444625581	0	SO-CMD-NORTH	sr23d	sr23d3
221.667793316	-17.3373497682	0	SO-CMD-NORTH	sr23g	sr23g1
153.519594745	-38.1325408827	0	SO-CMD-NORTH	sr24a	sr24a1
157.664161125	-52.2693567151	0	SO-SUN	sr24b	sr24b3
144.646986721	-43.4422503573	0	SO-SUN	sr24c	sr24c2
174.816008516	-61.0945005058	0	SO-CMD-NORTH	sr24d	sr24d1
228.616485219	-36.227193958	0	SO-SUN	sr24j	sr24j2
323.30583357	48.8543465785	0	SO-CMD-NORTH	sr25b	sr25b2
1.91416864955	63.3214011583	0	SO-CMD-NORTH	sr25d	sr25d2
355.873551909	62.1726456039	0	SO-CMD-NORTH	sr25e	sr25e2
2.58360000267	63.0957401054	0	SO-CMD-NORTH	sr25f	sr25f3
317.299685335	53.18918609	0	SO-CMD-NORTH	sr25h	sr25h1
354.808248711	25.8919042279	0	SO-SUN	sr26a	sr26a3
123.165315145	25.6713086607	0	SO-SUN	sr26c	sr26c3
289.679883475	49.6851689942	0	SO-SUN	sr26e	sr26e3
275.816506079	37.8788032933	0	SO-SUN	sr26f	sr26f1
349.015884165	56.3198619612	0	SO-SUN	sr26i	sr26i1
314.425307764	72.183807411	0	SO-CMD-NORTH	sr27a	sr27a2
225.860910262	67.192922282	0	SO-CMD-NORTH	sr27c	sr27c1
226.419747125	64.661295737	0	SO-CMD-NORTH	sr27e	sr27e2
184.473555326	-46.4376509182	0	SO-CMD-NORTH	sr28a	sr28a1
194.661862853	-51.8610584389	0	SO-CMD-NORTH	sr28g	sr28g2
14.1451056655	64.908039519	0	SO-CMD-NORTH	sr29g	sr29g2
3.90175483006	66.0560076752	0	SO-CMD-NORTH	sr30b	sr30b2
24.5140575908	53.9292380277	0	SO-CMD-NORTH	sr31h	sr31h2
252.868186597	-46.6019554864	0	SO-SUN	sr34f	sr34f2
205.236963628	-58.5001755057	0	SO-SUN	sr34i	sr34i3
187.774709411	-69.8172021273	0	SO-SUN	sr36a	sr36a2
216.208380481	-44.2110322814	0	SO-SUN	sr36b	sr36b1
343.185719577	66.2418636734	0	SO-SUN	sr36c	sr36c1
23.6882503742	-29.9336967858	0	SO-SUN	sr36d	sr36d1
11.1383377939	-6.82890664126	0	SO-SUN	sr36e	sr36e1
209.823853657	-15.8026344738	0	SO-SUN	sr36i	sr36i2
129.549475534	-58.1824920354	0	SO-SUN	sr37g	sr37g2
171.680111919	-55.3029201088	0	SO-SUN	sr37j	sr37j2
184.426691603	-52.503356662	0	SO-CMD-NORTH	sr39g	sr39g3
176.746408155	-49.9272278453	0	SO-CMD-NORTH	sr39h	sr39h3
193.210981426	-61.8885692327	0	SO-SUN	sr40f	sr40f3
17.6794652368	57.9289692275	0	SO-CMD-NORTH	sr42c	sr42c3
108.658410734	43.876643159	0	SO-SUN	sr42f	sr42f2
9.59282950789	14.1023269457	0	SO-SUN	sr42h	sr42h2
331.59286483	53.3047560945	0	SO-SUN	sr42j	sr42j2
324.1326309	65.9763345926	0	SO-SUN	sr01a	sr01a1
324.1326309	65.9763345926	0	SO-SUN	sr01a	sr01a1
325.340622775	62.0774612197	0	SO-SUN	sr01a	sr01a2
325.340622775	62.0774612197	0	SO-SUN	sr01a	sr01a2
344.685844206	63.7516011362	0	SO-SUN	sr01c	sr01c2
344.685844206	63.7516011362	0	SO-SUN	sr01c	sr01c2
327.830840774	64.4830756376	0	SO-CMD-NORTH	sr01d	sr01d1
327.830840774	64.4830756376	0	SO-CMD-NORTH	sr01d	sr01d1
331.59775573	63.3145730967	0	SO-SUN	sr01i	sr01i1
331.59775573	63.3145730967	0	SO-SUN	sr01i	sr01i1
146.466029747	-54.3921810502	0	SO-CMD-NORTH	sr03a	sr03a1
146.466029747	-54.3921810502	0	SO-CMD-NORTH	sr03a	sr03a1
120.404423946	-31.8174411327	0	SO-CMD-NORTH	sr03b	sr03b1
120.404423946	-31.8174411327	0	SO-CMD-NORTH	sr03b	sr03b1
147.239653657	-51.9980416387	0	SO-CMD-NORTH	sr03c	sr03c1
147.239653657	-51.9980416387	0	SO-CMD-NORTH	sr03c	sr03c1
145.760125301	-61.0250272564	0	SO-CMD-NORTH	sr03e	sr03e1
145.760125301	-61.0250272564	0	SO-CMD-NORTH	sr03e	sr03e1
