tab 	er_sites
er_citation_names	er_location_name	er_sample_name	er_site_name	site_description
This study	unknown	CUBE8886301	CUBE888630	s
This study	unknown	CUBE8885911	CUBE888591	s
This study	unknown	CUBE8886391	CUBE888639	s
This study	unknown	CUBE8884861	CUBE888486	s
This study	unknown	CUBE8886151	CUBE888615	s
This study	unknown	CUBE8885041	CUBE888504	s
This study	unknown	CUBE8885211	CUBE888521	s
This study	unknown	CUBE8885331	CUBE888533	s
This study	unknown	CUBE8885341	CUBE888534	s
This study	unknown	CUBE8885351	CUBE888535	s
This study	unknown	CUBE8885451	CUBE888545	s
This study	unknown	CUBE8877741	CUBE887774	s
This study	unknown	CUBE8883781	CUBE888378	s
This study	unknown	CUBE8883011	CUBE888301	s
This study	unknown	CUBE8879841	CUBE887984	s
This study	unknown	CUBE8878381	CUBE887838	s
This study	unknown	CUBE8882101	CUBE888210	s
This study	unknown	CUBE8883331	CUBE888333	s
This study	unknown	CUBE8880361	CUBE888036	s
This study	unknown	CUBE8879311	CUBE887931	s
This study	unknown	CUBE8873821	CUBE887382	s
This study	unknown	CUBE8880751	CUBE888075	s
This study	unknown	CUBE8875181	CUBE887518	s
This study	unknown	CUBE9976041	CUBE997604	s
This study	unknown	CUBE8878481	CUBE887848	s
This study	unknown	CUBE8876651	CUBE887665	s
This study	unknown	CUBE8877091	CUBE887709	s
This study	unknown	CUBE8877751	CUBE887775	s
This study	unknown	CUBE8878411	CUBE887841	s
This study	unknown	CUBE8877431	CUBE887743	s
This study	unknown	CUBE8877441	CUBE887744	s
This study	unknown	CUBE8877081	CUBE887708	s
This study	unknown	CUBE8876161	CUBE887616	s
This study	unknown	CUBE8876661	CUBE887666	s
This study	unknown	CUBE8876151	CUBE887615	s
This study	unknown	CUBE8870961	CUBE887096	s
This study	unknown	CUBE8871501	CUBE887150	s
This study	unknown	CUBE8871511	CUBE887151	s
This study	unknown	CUBE8871491	CUBE887149	s
This study	unknown	CUBE8870951	CUBE887095	s
This study	unknown	CUBE8872601	CUBE887260	s
This study	unknown	CUBE8872591	CUBE887259	s
This study	unknown	CUBE8870381	CUBE887038	s
This study	unknown	CUBE8870371	CUBE887037	s
This study	unknown	CUBE8870361	CUBE887036	s
This study	unknown	CUBE8870971	CUBE887097	s
This study	unknown	CUBE8868561	CUBE886856	s
This study	unknown	CUBE8868571	CUBE886857	s
This study	unknown	CUBE8872961	CUBE887296	s
This study	unknown	CUBE8869691	CUBE886969	s
This study	unknown	CUBE8869681	CUBE886968	s
This study	unknown	CUBE8868581	CUBE886858	s
This study	unknown	CUBE8866741	CUBE886674	s
This study	unknown	CUBE8866751	CUBE886675	s
This study	unknown	CUBE8867911	CUBE886791	s
This study	unknown	CUBE8867891	CUBE886789	s
This study	unknown	CUBE8867901	CUBE886790	s
