tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_chi_volume	measurement_description	measurement_flag	measurement_standard
	This study	unknown	CUBE8886301	CUBE888630	CUBE8886301	CUBE8886301:LP-AN-MS		LP-X:AE-H:LP-AN-MS	334.2E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8885911	CUBE888591	CUBE8885911	CUBE8885911:LP-AN-MS		LP-X:AE-H:LP-AN-MS	189.2E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8886391	CUBE888639	CUBE8886391	CUBE8886391:LP-AN-MS		LP-X:AE-H:LP-AN-MS	596.3E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8884861	CUBE888486	CUBE8884861	CUBE8884861:LP-AN-MS		LP-X:AE-H:LP-AN-MS	118.6E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8886151	CUBE888615	CUBE8886151	CUBE8886151:LP-AN-MS		LP-X:AE-H:LP-AN-MS	554.7E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8885041	CUBE888504	CUBE8885041	CUBE8885041:LP-AN-MS		LP-X:AE-H:LP-AN-MS	122.9E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8885211	CUBE888521	CUBE8885211	CUBE8885211:LP-AN-MS		LP-X:AE-H:LP-AN-MS	200.5E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8885331	CUBE888533	CUBE8885331	CUBE8885331:LP-AN-MS		LP-X:AE-H:LP-AN-MS	556.1E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8885341	CUBE888534	CUBE8885341	CUBE8885341:LP-AN-MS		LP-X:AE-H:LP-AN-MS	658.1E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8885351	CUBE888535	CUBE8885351	CUBE8885351:LP-AN-MS		LP-X:AE-H:LP-AN-MS	529.6E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8885451	CUBE888545	CUBE8885451	CUBE8885451:LP-AN-MS		LP-X:AE-H:LP-AN-MS	1.266E-03	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8877741	CUBE887774	CUBE8877741	CUBE8877741:LP-AN-MS		LP-X:AE-H:LP-AN-MS	43.28E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8883781	CUBE888378	CUBE8883781	CUBE8883781:LP-AN-MS		LP-X:AE-H:LP-AN-MS	10.09E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8883011	CUBE888301	CUBE8883011	CUBE8883011:LP-AN-MS		LP-X:AE-H:LP-AN-MS	-4.512E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8879841	CUBE887984	CUBE8879841	CUBE8879841:LP-AN-MS		LP-X:AE-H:LP-AN-MS	21.47E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8878381	CUBE887838	CUBE8878381	CUBE8878381:LP-AN-MS		LP-X:AE-H:LP-AN-MS	30.27E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8882101	CUBE888210	CUBE8882101	CUBE8882101:LP-AN-MS		LP-X:AE-H:LP-AN-MS	529.3E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8883331	CUBE888333	CUBE8883331	CUBE8883331:LP-AN-MS		LP-X:AE-H:LP-AN-MS	20.64E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8880361	CUBE888036	CUBE8880361	CUBE8880361:LP-AN-MS		LP-X:AE-H:LP-AN-MS	41.20E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8879311	CUBE887931	CUBE8879311	CUBE8879311:LP-AN-MS		LP-X:AE-H:LP-AN-MS	27.60E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8873821	CUBE887382	CUBE8873821	CUBE8873821:LP-AN-MS		LP-X:AE-H:LP-AN-MS	414.5E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8880751	CUBE888075	CUBE8880751	CUBE8880751:LP-AN-MS		LP-X:AE-H:LP-AN-MS	335.5E-09	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8875181	CUBE887518	CUBE8875181	CUBE8875181:LP-AN-MS		LP-X:AE-H:LP-AN-MS	13.94E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE9976041	CUBE997604	CUBE9976041	CUBE9976041:LP-AN-MS		LP-X:AE-H:LP-AN-MS	64.37E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8878481	CUBE887848	CUBE8878481	CUBE8878481:LP-AN-MS		LP-X:AE-H:LP-AN-MS	18.25E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8876651	CUBE887665	CUBE8876651	CUBE8876651:LP-AN-MS		LP-X:AE-H:LP-AN-MS	28.76E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8877091	CUBE887709	CUBE8877091	CUBE8877091:LP-AN-MS		LP-X:AE-H:LP-AN-MS	50.47E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8877751	CUBE887775	CUBE8877751	CUBE8877751:LP-AN-MS		LP-X:AE-H:LP-AN-MS	29.04E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8878411	CUBE887841	CUBE8878411	CUBE8878411:LP-AN-MS		LP-X:AE-H:LP-AN-MS	53.50E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8877431	CUBE887743	CUBE8877431	CUBE8877431:LP-AN-MS		LP-X:AE-H:LP-AN-MS	19.45E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8877441	CUBE887744	CUBE8877441	CUBE8877441:LP-AN-MS		LP-X:AE-H:LP-AN-MS	54.03E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8877081	CUBE887708	CUBE8877081	CUBE8877081:LP-AN-MS		LP-X:AE-H:LP-AN-MS	28.91E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8876161	CUBE887616	CUBE8876161	CUBE8876161:LP-AN-MS		LP-X:AE-H:LP-AN-MS	11.92E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8876661	CUBE887666	CUBE8876661	CUBE8876661:LP-AN-MS		LP-X:AE-H:LP-AN-MS	18.17E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8876151	CUBE887615	CUBE8876151	CUBE8876151:LP-AN-MS		LP-X:AE-H:LP-AN-MS	14.47E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8870961	CUBE887096	CUBE8870961	CUBE8870961:LP-AN-MS		LP-X:AE-H:LP-AN-MS	13.02E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8871501	CUBE887150	CUBE8871501	CUBE8871501:LP-AN-MS		LP-X:AE-H:LP-AN-MS	115.0E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8871511	CUBE887151	CUBE8871511	CUBE8871511:LP-AN-MS		LP-X:AE-H:LP-AN-MS	488.1E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8871491	CUBE887149	CUBE8871491	CUBE8871491:LP-AN-MS		LP-X:AE-H:LP-AN-MS	71.78E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8870951	CUBE887095	CUBE8870951	CUBE8870951:LP-AN-MS		LP-X:AE-H:LP-AN-MS	8.114E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8872601	CUBE887260	CUBE8872601	CUBE8872601:LP-AN-MS		LP-X:AE-H:LP-AN-MS	288.7E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8872591	CUBE887259	CUBE8872591	CUBE8872591:LP-AN-MS		LP-X:AE-H:LP-AN-MS	25.73E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8870381	CUBE887038	CUBE8870381	CUBE8870381:LP-AN-MS		LP-X:AE-H:LP-AN-MS	11.98E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8870371	CUBE887037	CUBE8870371	CUBE8870371:LP-AN-MS		LP-X:AE-H:LP-AN-MS	11.86E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8870361	CUBE887036	CUBE8870361	CUBE8870361:LP-AN-MS		LP-X:AE-H:LP-AN-MS	11.69E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8870971	CUBE887097	CUBE8870971	CUBE8870971:LP-AN-MS		LP-X:AE-H:LP-AN-MS	19.17E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8868561	CUBE886856	CUBE8868561	CUBE8868561:LP-AN-MS		LP-X:AE-H:LP-AN-MS	85.89E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8868571	CUBE886857	CUBE8868571	CUBE8868571:LP-AN-MS		LP-X:AE-H:LP-AN-MS	-1.970E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8872961	CUBE887296	CUBE8872961	CUBE8872961:LP-AN-MS		LP-X:AE-H:LP-AN-MS	-6.575E-06	Bulk sucsecptibility measurement	g	u
	This study	unknown	CUBE8869691	CUBE886969	CUBE8869691	CUBE8869691:LP-AN-MS		LP-X:AE-H:LP-AN-MS	6.733E-06	Bulk sucsecptibility measurement	g	u
