tab	demag_orient
sample_name	sample_orientation_flag	mag_azimuth	field_dip	bedding_dip_direction	bedding_dip	shadow_angle	lat	long	date	hhmm	GPS_baseline	GPS_Az	magic_method_codes
mc01a	g						-77.85	166.64					
mc01b	g						-77.85	166.64					
mc01c	g						-77.85	166.64					
mc01d	g						-77.85	166.64					
mc01e	g						-77.85	166.64					
mc01f	g						-77.85	166.64					
mc01g	g						-77.85	166.64					
mc01h	g						-77.85	166.64					
mc02a	g						-77.85	166.69					
mc02b	g						-77.85	166.69					
mc02c	g						-77.85	166.69					
mc02d	g						-77.85	166.69					
mc02e	g						-77.85	166.69					
mc02f	g						-77.85	166.69					
mc02g	g						-77.85	166.69					
mc02h	g						-77.85	166.69					
mc03a	g						-77.84	166.76					
mc03b	g						-77.84	166.76					
mc03c	g						-77.84	166.76					
mc03d	g						-77.84	166.76					
mc03e	g						-77.84	166.76					
mc03f	g						-77.84	166.76					
mc03g	g						-77.84	166.76					
mc03h	g						-77.84	166.76					
mc04a	g						-77.84	166.7					
mc04b	g						-77.84	166.7					
mc04c	g						-77.84	166.7					
mc04d	g						-77.84	166.7					
mc04e	g						-77.84	166.7					
mc04f	g						-77.84	166.7					
mc04g	g						-77.84	166.7					
mc04h	g						-77.84	166.7					
mc06a	g						-77.83	166.67					
mc06b	g						-77.83	166.67					
mc06c	g						-77.83	166.67					
mc06d	g						-77.83	166.67					
mc06e	g						-77.83	166.67					
mc06f	g						-77.83	166.67					
mc06g	g						-77.83	166.67					
mc06h	g						-77.83	166.67					
mc07a	g						-77.8	166.72					
mc07b	g						-77.8	166.72					
mc07c	g						-77.8	166.72					
mc07d	g						-77.8	166.72					
mc07e	g						-77.8	166.72					
mc07f	g						-77.8	166.72					
mc07g	g						-77.8	166.72					
mc07h	g						-77.8	166.72					
mc08a	g						-77.8	166.83					
mc08b	g						-77.8	166.83					
mc08c	g						-77.8	166.83					
mc08d	g						-77.8	166.83					
mc08e	g						-77.8	166.83					
mc08f	g						-77.8	166.83					
mc08g	g						-77.8	166.83					
mc08h	g						-77.8	166.83					
mc09a	g						-77.55	166.2					
mc09b	g						-77.55	166.2					
mc09c	g						-77.55	166.2					
mc09d	g						-77.55	166.2					
mc09e	g						-77.55	166.2					
mc09f	g						-77.55	166.2					
mc09g	g						-77.55	166.2					
mc09h	g						-77.55	166.2					
mc100a	g						-78.302	162.9					
mc100b	g						-78.302	162.9					
mc100c	g						-78.302	162.9					
mc100d	g						-78.302	162.9					
mc100e	g						-78.302	162.9					
mc100f	g						-78.302	162.9					
mc100g	g						-78.302	162.9					
mc100h	g						-78.302	162.9					
mc100i	g						-78.302	162.9					
mc100j	g						-78.302	162.9					
mc101a	g						-78.306	162.928					
mc101b	g						-78.306	162.928					
mc101c	g						-78.306	162.928					
mc101d	g						-78.306	162.928					
mc101e	g						-78.306	162.928					
mc101f	g						-78.306	162.928					
mc101g	g						-78.306	162.928					
mc101h	g						-78.306	162.928					
mc101i	g						-78.306	162.928					
mc101j	g						-78.306	162.928					
mc102a	g						-78.235	163.352					
mc102b	g						-78.235	163.352					
mc102c	g						-78.235	163.352					
mc102d	g						-78.235	163.352					
mc102e	g						-78.235	163.352					
mc102f	g						-78.235	163.352					
mc102g	g						-78.235	163.352					
mc102h	g						-78.235	163.352					
mc102i	g						-78.235	163.352					
mc102j	g						-78.235	163.352					
mc102k	g						-78.235	163.352					
mc102l	g						-78.235	163.352					
mc102m	g						-78.235	163.352					
