tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	specimen_volume
This study	unknown	CUBE8886301	CUBE888630	CUBE8886301	1.000e-05
This study	unknown	CUBE8885911	CUBE888591	CUBE8885911	8.000e-06
This study	unknown	CUBE8886391	CUBE888639	CUBE8886391	8.000e-06
This study	unknown	CUBE8884861	CUBE888486	CUBE8884861	8.000e-06
This study	unknown	CUBE8886151	CUBE888615	CUBE8886151	8.000e-06
This study	unknown	CUBE8885041	CUBE888504	CUBE8885041	8.000e-06
This study	unknown	CUBE8885211	CUBE888521	CUBE8885211	8.000e-06
This study	unknown	CUBE8885331	CUBE888533	CUBE8885331	8.000e-06
This study	unknown	CUBE8885341	CUBE888534	CUBE8885341	8.000e-06
This study	unknown	CUBE8885351	CUBE888535	CUBE8885351	8.000e-06
This study	unknown	CUBE8885451	CUBE888545	CUBE8885451	8.000e-06
This study	unknown	CUBE8877741	CUBE887774	CUBE8877741	8.000e-06
This study	unknown	CUBE8883781	CUBE888378	CUBE8883781	8.000e-06
This study	unknown	CUBE8883011	CUBE888301	CUBE8883011	8.000e-06
This study	unknown	CUBE8879841	CUBE887984	CUBE8879841	8.000e-06
This study	unknown	CUBE8878381	CUBE887838	CUBE8878381	8.000e-06
This study	unknown	CUBE8882101	CUBE888210	CUBE8882101	8.000e-06
This study	unknown	CUBE8883331	CUBE888333	CUBE8883331	8.000e-06
This study	unknown	CUBE8880361	CUBE888036	CUBE8880361	8.000e-06
This study	unknown	CUBE8879311	CUBE887931	CUBE8879311	8.000e-06
This study	unknown	CUBE8873821	CUBE887382	CUBE8873821	8.000e-06
This study	unknown	CUBE8880751	CUBE888075	CUBE8880751	8.000e-06
This study	unknown	CUBE8875181	CUBE887518	CUBE8875181	8.000e-06
This study	unknown	CUBE9976041	CUBE997604	CUBE9976041	8.000e-06
This study	unknown	CUBE8878481	CUBE887848	CUBE8878481	8.000e-06
This study	unknown	CUBE8876651	CUBE887665	CUBE8876651	8.000e-06
This study	unknown	CUBE8877091	CUBE887709	CUBE8877091	8.000e-06
This study	unknown	CUBE8877751	CUBE887775	CUBE8877751	8.000e-06
This study	unknown	CUBE8878411	CUBE887841	CUBE8878411	8.000e-06
This study	unknown	CUBE8877431	CUBE887743	CUBE8877431	8.000e-06
This study	unknown	CUBE8877441	CUBE887744	CUBE8877441	8.000e-06
This study	unknown	CUBE8877081	CUBE887708	CUBE8877081	8.000e-06
This study	unknown	CUBE8876161	CUBE887616	CUBE8876161	8.000e-06
This study	unknown	CUBE8876661	CUBE887666	CUBE8876661	8.000e-06
This study	unknown	CUBE8876151	CUBE887615	CUBE8876151	8.000e-06
This study	unknown	CUBE8870961	CUBE887096	CUBE8870961	8.000e-06
This study	unknown	CUBE8871501	CUBE887150	CUBE8871501	8.000e-06
This study	unknown	CUBE8871511	CUBE887151	CUBE8871511	8.000e-06
This study	unknown	CUBE8871491	CUBE887149	CUBE8871491	8.000e-06
This study	unknown	CUBE8870951	CUBE887095	CUBE8870951	8.000e-06
This study	unknown	CUBE8872601	CUBE887260	CUBE8872601	8.000e-06
This study	unknown	CUBE8872591	CUBE887259	CUBE8872591	8.000e-06
This study	unknown	CUBE8870381	CUBE887038	CUBE8870381	8.000e-06
This study	unknown	CUBE8870371	CUBE887037	CUBE8870371	8.000e-06
This study	unknown	CUBE8870361	CUBE887036	CUBE8870361	8.000e-06
This study	unknown	CUBE8870971	CUBE887097	CUBE8870971	8.000e-06
This study	unknown	CUBE8868561	CUBE886856	CUBE8868561	8.000e-06
This study	unknown	CUBE8868571	CUBE886857	CUBE8868571	8.000e-06
This study	unknown	CUBE8872961	CUBE887296	CUBE8872961	8.000e-06
This study	unknown	CUBE8869691	CUBE886969	CUBE8869691	8.000e-06
This study	unknown	CUBE8869681	CUBE886968	CUBE8869681	8.000e-06
This study	unknown	CUBE8868581	CUBE886858	CUBE8868581	8.000e-06
This study	unknown	CUBE8866741	CUBE886674	CUBE8866741	8.000e-06
This study	unknown	CUBE8866751	CUBE886675	CUBE8866751	8.000e-06
This study	unknown	CUBE8867911	CUBE886791	CUBE8867911	8.000e-06
This study	unknown	CUBE8867891	CUBE886789	CUBE8867891	8.000e-06
This study	unknown	CUBE8867901	CUBE886790	CUBE8867901	8.000e-06
