name	row_number	problem_type	problem_col	error_message
mc01a	0	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc01b	3	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc01d	6	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc01g	10	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc02f	16	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc06h	38	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc08a	44	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc08b	46	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc08g	53	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc08h	55	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc09a	56	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc09b	59	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc09d	61	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc103e1	98	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc105a2	108	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc105c1	110	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc105d1	112	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc105j1	118	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc107e2	127	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc109a1	141	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc109c1	144	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc109d1	146	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc109e1	147	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc10a	151	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc10b	153	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc10d	156	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc111d2	171	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc111e2	175	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc113a2	188	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc113j1	196	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc113m1	199	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc115a2	208	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc115b1	209	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
mc115e1	211	value	int_md	-1.0 (int_md) must be >= 0.0 (0)
