featureset_name	learner_name	objective	train_set_name	training_set_size	train_score_mean	test_score_mean	train_score_std	test_score_std	scikit_learn_version	version
bias+length+wer	RescaledSVR	unweighted_kappa	features	378	0.8124529087901999	0.4423070907285817	0.030978019539761925	0.04126624305533541	0.18.1	1.3
bias+length+wer	RescaledSVR	unweighted_kappa	features	1231	0.733326009187802	0.4893093208267489	0.024105509974338062	0.025685048927025816	0.18.1	1.3
bias+length+wer	RescaledSVR	unweighted_kappa	features	2083	0.7196759026443076	0.5424950577858162	0.014695853951017341	0.024781625432275654	0.18.1	1.3
bias+length+wer	RescaledSVR	unweighted_kappa	features	2936	0.7024196367559593	0.5656639638823033	0.014779392107387756	0.02085375929296322	0.18.1	1.3
bias+length+wer	RescaledSVR	unweighted_kappa	features	3789	0.6995651863370146	0.5882551758652831	0.013101709749150288	0.024196081921193394	0.18.1	1.3
